2025-01-12_06-56-52 | Marina
2025-01-12_06-57-02 | Marina
2025-01-12_06-59-59 | Diso | 
2025-01-12_07-00-07 | Marina | 
2025-01-12_07-00-16 | Marina | 
2025-01-12_07-00-26 | Marina | 
2025-01-12_07-33-24 | Diso | dict_mg_v4 | 0 | 
2025-01-12_07-40-12 | Diso | dict_mg_v4 | 0 | 
2025-01-12_07-40-38 | Marina | dict_mg_v4 | 0 | 
2025-01-12_07-40-46 | Marina | dict_mg_v4 | 1 | 
2025-01-12_07-40-54 | Marina | dict_mg_v4 | 2 | 
2025-01-12_07-42-32 | Marina | dict_mg_v4 | 6 | 
2025-01-12_07-43-30 | Marina | dict_mg_v4 | 33 | 
2025-01-12_07-43-44 | Marina | dict_mg_v4 | 20 | 
2025-01-12_07-44-55 | Diso | dict_mg_v4 | 10 |  | valiny: 192
2025-01-12_07-45-02 | Marina | dict_mg_v4 | 10 |  | valiny: 196
2025-01-12_07-45-08 | Marina | dict_mg_v4 | 32 |  | valiny: 134
2025-01-12_07-45-24 | Marina | dict_mg_v4 | 29 |  | valiny: Marc RAVALOMANANA
2025-01-12_10-01-41 | Diso | dict_mg_v4 | 1 |  | valiny: Njaka
2025-01-12_10-02-58 | Diso | dict_mg_v4 | 18 |  | valiny: Njaka
2025-01-12_10-03-31 | Diso | dict_mg_v4 | 9 |  | valiny: Njaka
2025-01-12_10-05-09 | Diso | dict_mg_v4 | 29 |  | valiny: Njaka
2025-01-12_10-06-09 | Diso | dict_mg_v4 | 18 |  | valiny: Njaka
2025-01-12_10-07-28 | Diso | dict_mg_v4 | 29 |  | valiny: Njaka
2025-01-12_10-11-27 | Diso | dict_mg_v4 | 10 |  | valiny: Njaka
2025-01-12_10-11-47 | Marina | dict_mg_v4 | 10 |  | 196
2025-01-12_10-11-52 | Marina | dict_mg_v4 | 3 |  | rOVA
2025-01-12_10-12-05 | Marina | dict_mg_v4 | 29 |  | Marc RAVALOMANANA
2025-01-12_10-16-15 | Marina | dict_mg_v4 | 24 |  | ORANGE
